fas4,lifesat,wemwbs,sebdtot,physact60,schoolid_anonymous,genid_sab6,meanpsychcomplfreq,dailyfruitveg,pastmonthcann,drink2bin,weeklysmoker,vigpaguidance,age1,ethnic2,bullyvictim
10,7,24,9,4,30,2,2.75,NA,0,0,0,1,16,0,0
8,8,23,23,1,30,2,4.25,0,0,0,0,0,15,0,0
6,7,NA,NA,NA,30,2,NA,NA,NA,NA,NA,NA,16,0,NA
11,4,19,19,2,30,2,3.5,0,0,0,0,NA,13,0,0
9,7,18,17,5,30,2,3.25,0,0,0,0,0,14,0,1
7,5,22,11,4,30,2,4,0,0,0,0,1,13,0,0
6,10,24,6,4,30,1,2,0,0,0,0,1,13,0,0
7,8,NA,18,NA,30,2,3.25,0,0,0,0,NA,13,0,0
NA,6,20,27,4,30,1,3.5,0,0,0,0,0,13,0,1
13,7,27,9,7,30,1,1.5,0,0,0,0,1,13,0,0
6,9,26,10,4,30,2,1.75,0,0,0,0,1,13,NA,0
7,8,23,20,3,30,2,1.75,0,0,0,NA,1,14,0,0
10,8,19,16,3,30,2,1.75,0,0,0,0,0,13,0,0
7,7,25,6,7,30,1,1.5,0,0,0,0,1,14,0,0
9,4,16,25,2,30,NA,4.25,0,0,NA,0,NA,14,0,1
7,8,23,10,4,30,1,1.75,0,0,1,0,0,13,0,0
7,5,19,23,5,30,2,4.25,0,0,0,0,0,13,0,1
3,7,24,14,4,30,2,3.25,0,0,NA,0,0,13,0,0
11,10,28,1,4,30,1,1.25,0,0,0,0,1,13,1,0
10,6,26,8,5,30,1,1,0,0,0,0,1,14,1,0
9,8,20,14,3,30,2,3,0,0,0,0,0,13,0,0
6,7,NA,12,7,30,2,NA,0,0,0,0,1,13,0,0
6,2,19,18,1,30,2,5,0,1,0,NA,NA,13,0,0
5,9,22,14,5,30,1,2.75,0,0,0,0,0,13,0,0
4,6,23,9,4,30,2,3.25,1,0,0,0,1,16,0,0
8,10,35,0,4,30,2,1,0,0,0,0,1,16,0,0
5,2,15,24,1,30,6,5,0,0,0,0,1,16,0,0
2,9,28,NA,NA,30,1,1,NA,NA,NA,NA,NA,15,0,NA
6,6,24,NA,NA,30,1,1,NA,NA,NA,0,NA,13,0,NA
5,6,24,7,NA,30,1,1,NA,0,0,0,NA,13,0,0
10,4,21,18,NA,30,1,2.5,0,0,1,0,1,16,0,0
NA,10,33,NA,NA,30,2,NA,NA,NA,NA,NA,NA,NA,0,NA
6,9,25,8,5,30,2,1.5,0,0,0,0,0,16,0,0
4,4,NA,NA,NA,30,2,NA,NA,NA,NA,NA,NA,15,0,NA
7,7,26,11,6,30,1,1.5,1,0,0,0,1,12,0,0
6,6,16,20,6,30,NA,3.75,0,0,0,0,NA,15,0,1
7,9,23,13,5,30,2,3,0,0,0,0,0,13,0,0
9,10,29,10,0,30,2,1.5,0,0,1,0,0,14,0,0
NA,10,NA,2,5,30,1,NA,0,0,0,0,1,12,0,0
11,10,29,6,6,30,1,1.5,1,0,0,0,1,12,0,0
8,NA,23,9,4,174,1,2.75,0,0,0,0,0,12,1,0
NA,7,NA,12,NA,174,1,NA,0,0,NA,0,NA,11,0,NA
NA,9,28,NA,NA,174,1,2.25,NA,0,0,0,NA,11,NA,0
NA,5,NA,9,NA,174,2,3,NA,0,0,0,0,12,1,0
5,9,27,7,7,174,2,NA,0,0,0,0,1,11,1,0
8,4,18,26,2,174,2,4.25,0,0,0,0,0,12,1,1
NA,4,NA,17,1,174,2,3.75,0,0,0,0,1,12,0,1
9,6,24,14,4,174,2,2.5,0,0,0,0,1,12,1,1
NA,6,21,21,NA,174,1,4,0,0,0,0,NA,11,0,0
NA,10,NA,2,NA,174,2,1,0,0,0,0,0,11,1,0
8,7,18,17,3,174,2,2.75,0,0,0,0,1,12,0,1
11,7,NA,18,4,174,2,NA,0,0,0,0,1,12,0,0
7,8,22,13,2,174,2,3.25,0,0,0,0,NA,12,1,1
NA,9,NA,7,6,174,1,1.25,1,0,0,0,1,12,0,NA
4,8,26,3,4,174,2,1.5,0,0,0,0,1,12,0,0
9,8,21,17,6,174,2,2.25,0,0,0,0,1,11,NA,1
6,3,16,NA,4,174,2,4.75,0,NA,0,1,1,11,0,0
12,10,29,4,3,174,1,1.25,0,0,0,0,0,11,0,0
10,4,22,9,3,174,1,3,0,0,0,0,1,11,0,0
8,8,28,10,6,174,1,3,0,0,NA,0,0,11,1,0
9,9,22,9,3,174,2,1.5,0,0,0,0,1,11,0,0
NA,7,23,13,7,174,1,2.25,0,0,0,0,1,11,0,0
10,10,34,8,7,174,1,NA,0,0,0,0,0,11,0,0
9,10,14,NA,1,174,1,2,0,0,0,NA,0,11,1,0
NA,9,NA,NA,5,174,1,1.5,0,0,0,0,1,12,1,NA
6,9,30,10,5,174,1,2.75,1,0,0,0,1,11,0,0
11,NA,NA,22,3,174,1,3.75,0,0,0,0,1,12,1,1
11,7,NA,17,3,174,2,NA,0,0,0,0,NA,11,0,0
11,10,34,20,7,174,1,2.5,0,0,0,0,1,11,0,0
8,8,28,9,3,174,1,1.5,0,0,0,0,0,11,NA,1
NA,8,NA,NA,NA,174,1,1.75,0,0,0,0,1,11,1,NA
8,7,25,7,7,174,1,1.25,0,0,0,0,0,12,1,0
NA,7,22,NA,NA,174,6,NA,0,0,0,0,0,11,0,0
NA,10,NA,NA,NA,174,1,NA,NA,0,NA,0,NA,12,0,NA
7,6,19,17,3,174,1,1.75,0,0,0,0,1,12,1,1
7,6,13,NA,4,30,2,3.75,0,NA,NA,NA,1,15,0,NA
8,9,23,16,4,174,1,3.25,0,0,0,0,1,11,0,NA
5,5,19,NA,3,174,1,1.75,0,0,0,0,0,12,0,0
NA,NA,NA,20,2,174,2,4.5,0,0,0,0,0,11,1,1
NA,9,NA,7,7,174,1,1.25,0,0,0,0,1,11,1,0
4,10,25,4,5,174,2,1.25,0,0,0,0,1,11,1,0
10,7,19,17,2,174,2,1.25,1,0,0,0,0,11,1,0
NA,NA,NA,NA,NA,174,1,3,NA,NA,NA,NA,NA,11,NA,NA
13,7,27,4,6,118,1,1.75,0,0,1,0,1,15,0,0
9,8,28,6,5,118,1,2.25,0,0,0,0,1,15,0,0
10,9,24,19,4,118,1,3,1,0,1,0,1,16,0,0
12,10,24,10,5,118,2,2.25,1,0,1,0,1,16,0,0
7,7,23,6,6,118,1,2.5,0,1,1,0,1,16,0,0
10,9,25,NA,3,118,2,3,0,NA,NA,0,1,15,0,NA
12,8,19,28,1,118,2,5,0,0,0,0,0,16,0,1
11,6,20,10,5,118,1,2,0,0,0,0,1,15,0,0
13,8,32,8,6,118,1,2.25,0,0,1,0,1,15,0,0
10,8,NA,4,6,118,1,1,0,0,0,0,1,15,0,0
8,7,25,10,4,118,1,3.5,0,0,0,0,0,15,0,0
10,5,23,15,6,118,2,4.25,0,0,1,0,1,16,0,0
8,5,16,20,5,118,1,4.25,1,0,0,0,0,15,0,0
11,7,24,14,3,118,2,3.5,1,0,0,0,0,15,0,0
11,10,30,5,6,118,2,2,0,0,0,0,1,15,0,0
10,NA,17,27,5,118,2,5,1,0,1,0,NA,16,0,0
8,8,18,14,5,118,2,5,0,0,0,0,1,16,0,1
10,6,21,12,1,118,2,3.75,1,0,0,0,0,15,1,0
5,7,15,20,NA,118,2,4.25,1,1,1,0,NA,15,0,1
11,10,22,13,7,118,1,1.75,1,0,0,0,1,15,0,0
6,7,21,16,3,118,1,2.25,0,0,1,0,0,15,0,1
7,6,20,13,1,118,1,2.5,0,0,1,0,0,16,0,0
11,6,23,8,6,118,1,2.5,1,0,0,0,1,16,0,0
11,8,20,11,5,118,1,3.5,1,0,0,0,0,15,0,0
NA,6,27,3,4,207,1,1,0,0,0,0,0,15,1,0
11,9,24,3,7,207,1,1,1,0,1,0,1,14,0,0
11,10,27,7,7,207,1,1,1,0,0,0,1,14,0,0
11,9,21,6,7,207,1,1,0,0,1,0,1,15,0,0
8,9,27,6,5,207,1,1.5,0,0,0,0,1,14,0,1
10,5,17,21,2,207,NA,4.75,0,0,0,0,0,15,0,1
11,8,21,25,5,207,2,2.75,0,0,0,0,0,15,0,1
12,5,23,16,4,207,2,4.5,0,0,1,0,1,14,0,1
9,5,26,13,5,207,2,3,0,0,0,0,0,14,0,0
7,5,19,12,4,207,1,4,0,0,0,0,0,15,0,0
6,8,25,10,3,207,1,2.5,0,0,0,0,0,14,0,0
11,7,26,12,5,207,1,2,0,0,0,0,1,14,0,0
9,6,20,16,2,207,2,3.25,0,0,1,0,0,14,0,0
8,8,25,9,4,207,1,1.75,0,0,0,0,1,14,0,0
13,4,16,20,7,207,2,5,1,0,1,0,1,15,0,1
13,5,NA,14,4,207,2,3.5,1,0,1,0,0,14,0,0
10,6,22,12,7,207,1,1.25,0,0,0,0,1,15,0,0
8,10,NA,20,4,207,1,1,0,0,0,0,1,15,0,0
9,8,28,8,7,207,2,1.5,1,0,0,0,1,14,0,0
6,8,28,6,6,118,1,1,0,0,0,0,1,16,0,0
10,8,25,13,5,207,1,2.5,0,0,1,0,0,15,0,0
13,6,24,14,1,207,2,2,1,0,1,0,0,15,0,0
10,9,27,6,3,207,1,1,0,0,0,0,1,14,0,0
9,8,27,16,3,118,2,2.25,1,1,1,1,0,16,1,0
8,8,31,10,2,207,2,2.25,0,0,0,0,1,14,0,0
5,8,NA,15,5,156,1,4,0,0,0,0,0,13,0,1
12,5,22,NA,4,156,1,3.25,0,0,0,0,1,13,0,1
7,7,19,NA,2,156,1,NA,0,0,0,0,1,13,0,1
8,8,19,16,3,156,2,2.25,0,0,0,0,0,13,0,1
6,0,NA,13,3,156,1,NA,0,0,0,0,NA,13,0,1
NA,8,NA,16,NA,118,2,NA,0,0,0,0,NA,13,0,0
10,10,NA,12,7,156,1,1,0,0,0,0,0,12,NA,0
5,4,17,19,4,156,1,4,0,0,0,0,0,12,0,1
8,6,24,15,0,156,1,3,0,0,0,0,0,12,0,1
9,10,24,12,7,156,1,1,0,0,0,0,0,12,NA,0
NA,10,NA,13,7,156,1,NA,NA,0,NA,0,1,12,0,1
NA,8,26,16,2,118,1,2,0,0,0,0,0,14,0,0
9,8,23,19,6,207,1,1.75,0,0,0,0,1,14,0,1
12,9,28,9,7,118,2,2.75,1,0,0,0,1,15,0,0
8,7,25,7,2,118,1,1.5,1,0,0,0,1,14,0,0
6,7,25,5,4,118,1,2,0,0,0,0,1,14,0,0
8,7,18,23,2,118,2,4.25,0,NA,1,0,0,14,1,0
